Date,Open Price,Close Price,High Price,Low Price,Volume,Rise,Diff of Close Price
19-Feb-16,1916.74,1917.78,1918.78,1902.17,2662584576,-1,-9.04
22-Feb-16,1924.44,1945.5,1946.7,1924.44,2444259840,1,27.72
23-Feb-16,1942.38,1921.27,1942.38,1919.44,2395141632,-1,-24.23
24-Feb-16,1917.56,1929.8,1932.08,1891,2615243264,1,8.53
25-Feb-16,1931.87,1951.7,1951.83,1925.41,2273025280,1,21.9
26-Feb-16,1954.95,1948.05,1962.96,1945.78,2557578240,-1,-3.65
29-Feb-16,1947.13,1932.23,1958.27,1931.81,2624472064,-1,-15.82
1-Mar-16,1937.09,1978.35,1978.35,1937.09,2921191424,1,46.12
2-Mar-16,1976.6,1986.45,1986.51,1968.8,2642398208,1,8.1
3-Mar-16,1985.6,1993.4,1993.69,1977.37,2707435264,1,6.95
4-Mar-16,1994.01,1999.99,2009.13,1986.77,3091211264,1,6.59
7-Mar-16,1996.11,2001.76,2006.12,1989.38,2608944128,1,1.77
8-Mar-16,1996.88,1979.26,1996.88,1977.43,2546177792,-1,-22.5
9-Mar-16,1981.44,1989.26,1992.69,1979.84,2313811200,1,10
10-Mar-16,1990.97,1989.57,2005.08,1969.25,2554481920,1,0.31
11-Mar-16,1994.71,2022.19,2022.37,1994.71,2355180800,1,32.62
14-Mar-16,2019.27,2019.64,2024.57,2012.05,1988170368,-1,-2.55
15-Mar-16,2015.27,2015.93,2015.94,2005.23,1988532224,-1,-3.71
16-Mar-16,2014.24,2027.22,2032.02,2010.04,2427172352,1,11.29
17-Mar-16,2026.9,2040.59,2046.24,2022.16,2653341696,1,13.37
18-Mar-16,2041.16,2049.58,2052.36,2041.16,3924927744,1,8.99
21-Mar-16,2047.88,2051.6,2053.91,2043.14,1963132416,1,2.02
22-Mar-16,2048.64,2049.8,2056.6,2040.57,1968374912,-1,-1.8
23-Mar-16,2048.55,2036.71,2048.55,2034.86,2068275200,-1,-13.09
24-Mar-16,2032.48,2035.94,2036.04,2022.49,2026716672,-1,-0.77
28-Mar-16,2037.89,2037.05,2042.67,2031.96,1639616384,1,1.11
29-Mar-16,2035.75,2055.01,2055.91,2028.31,2137825024,1,17.96
30-Mar-16,2058.27,2063.95,2072.21,2058.27,2048951808,1,8.94
31-Mar-16,2063.77,2059.74,2067.92,2057.46,2222129920,-1,-4.21
1-Apr-16,2056.62,2072.78,2075.07,2043.98,2246657536,1,13.04
4-Apr-16,2073.19,2066.13,2074.02,2062.57,1999663488,-1,-6.65
5-Apr-16,2062.5,2045.17,2062.5,2042.56,2440845312,-1,-20.96
6-Apr-16,2045.56,2066.66,2067.33,2043.09,2276149760,1,21.49
7-Apr-16,2063.01,2041.91,2063.01,2033.8,2367720448,-1,-24.75
8-Apr-16,2045.54,2047.6,2060.63,2041.69,1961659648,1,5.69
11-Apr-16,2050.23,2041.99,2062.93,2041.88,2080417536,-1,-5.61
12-Apr-16,2043.72,2061.72,2065.05,2039.74,2409036288,1,19.73
13-Apr-16,2065.92,2082.42,2083.18,2065.92,2535108352,1,20.7
14-Apr-16,2082.89,2082.78,2087.84,2078.13,2182543616,1,0.36
